surface_m2,nb_pieces,latitude,longitude,dist_arret_bus_m,proximite_febus,prix_vente
85,4,43.29650760583564,-0.36410753110804095,570,0,126800.0
59,3,43.293040227644944,-0.35562248276005193,242,0,128400.0
88,2,43.29948259760756,-0.35787665085993264,633,0,151400.0
49,2,43.30093957766286,-0.36431709822306463,610,0,80300.0
48,3,43.2982410277308,-0.34540454253621056,264,1,111200.0
36,1,43.31106096271049,-0.3568267554192934,455,0,66000.0
42,1,43.300205326513954,-0.36788319624792015,547,0,85600.0
39,1,43.29846149372281,-0.3719465258213879,210,1,90900.0
132,6,43.30448200991264,-0.37041422582447003,533,0,275600.0
104,3,43.29524125717442,-0.36762126814846474,84,1,260800.0
51,1,43.31045053055734,-0.3701795588022133,413,0,106000.0
96,5,43.29371466480464,-0.3694029892784608,217,1,229600.0
84,4,43.31469839954181,-0.36644714493918457,162,0,189800.0
70,2,43.309761629693824,-0.36979879214115735,486,0,121400.0
113,5,43.296570460675284,-0.3480970372612072,213,0,232800.0
41,1,43.292127008693846,-0.37259298763015075,440,0,76700.0
117,4,43.31075561285446,-0.35926465831289234,506,0,246500.0
77,3,43.30825771890849,-0.36268809519031014,156,1,203800.0
32,2,43.30876716486494,-0.34552864149274176,327,0,63600.0
103,3,43.30973921797378,-0.3716388329349584,179,0,192300.0
51,2,43.29370302698989,-0.36306433202862776,328,0,104600.0
70,1,43.30024471175652,-0.3459158870017389,35,1,156300.0
74,2,43.29466498836908,-0.34903478622318057,96,1,199500.0
95,4,43.31185137879514,-0.3504878378715216,595,0,169200.0
27,1,43.30633585691703,-0.3672629151886518,145,1,65400.0
117,3,43.29961065457161,-0.36987337237829804,613,0,203700.0
88,4,43.29346184205658,-0.3549407034022671,319,0,163300.0
68,2,43.29915259339946,-0.3471187203261724,385,0,140600.0
77,2,43.29947921640662,-0.3582971132095821,398,0,148400.0
48,3,43.30878094210178,-0.357851619315903,459,0,92500.0
84,2,43.30666382184117,-0.3666006271901915,439,0,149500.0
27,1,43.31240589307925,-0.35191521200424186,175,0,59200.0
44,1,43.30286094327872,-0.3693886875432743,192,1,112100.0
70,1,43.29475066765658,-0.3652896229078727,643,0,125800.0
39,2,43.308404630106125,-0.3622369068415075,504,0,81400.0
49,1,43.30949805611819,-0.35977168863946635,341,0,96200.0
118,4,43.3049093755441,-0.36772770802754756,612,0,231400.0
102,4,43.30973224513895,-0.37155489525782387,303,0,179000.0
95,4,43.30335729871638,-0.35668139872675103,607,0,180500.0
41,1,43.304022855075786,-0.3663410834027923,587,0,74400.0
132,4,43.30183344342225,-0.35756285335732163,587,0,248100.0
108,4,43.29258463991511,-0.3703691185417739,368,0,214100.0
124,6,43.294481502820844,-0.3605657969443555,42,1,309700.0
33,1,43.2927228712708,-0.3590223170234524,57,0,73100.0
62,2,43.30663743945907,-0.3734452938953272,437,0,114500.0
72,3,43.29923018756475,-0.36490187165418236,612,0,138900.0
84,4,43.30369712589679,-0.37096755969183076,191,1,217500.0
87,3,43.312874028900296,-0.37309875088581695,543,0,145000.0
110,4,43.297733721270426,-0.34530119302830165,624,0,189300.0
26,1,43.30143880722982,-0.3653293846507583,508,0,46400.0
112,5,43.309377676186486,-0.3507037666243609,212,1,249800.0
96,4,43.29726235780631,-0.3673607803570871,624,0,169600.0
35,2,43.293770537926065,-0.3545549183332821,591,0,70300.0
88,3,43.29866428341702,-0.3521931642033094,531,0,184900.0
101,4,43.29570808960684,-0.35713083778176463,528,0,192100.0
105,4,43.31338304600388,-0.36085271434349525,36,1,255500.0
96,3,43.31058676872998,-0.3626447725755819,126,1,245500.0
45,1,43.30656828639974,-0.36453395200371014,71,1,94900.0
42,1,43.312043593574316,-0.3471141256725652,80,0,82000.0
118,5,43.31048445776868,-0.3500814177663681,112,0,206000.0
88,4,43.29629111135438,-0.3460491926800046,158,0,168200.0
106,3,43.312528856965265,-0.3712710832954337,449,0,191900.0
134,6,43.30440487156406,-0.35307397574389066,100,1,358000.0
119,4,43.31057112356877,-0.34684978629536883,602,0,170700.0
62,2,43.31261009989824,-0.36956300801503017,358,0,118300.0
56,2,43.29931407992435,-0.37300511197899666,308,0,117000.0
35,1,43.29453119426414,-0.3527663805212982,585,0,67200.0
69,3,43.297242508738464,-0.3577658066046026,625,0,141900.0
113,3,43.301823479138406,-0.3497451366972518,257,1,270700.0
57,3,43.310814339616215,-0.3708068287012113,575,0,109400.0
126,5,43.31179680341489,-0.35114198064420327,46,1,277400.0
65,1,43.29215989900222,-0.36895118039856767,405,0,117000.0
32,2,43.30374718795928,-0.37009032171402884,291,0,55600.0
35,2,43.301600453072425,-0.3700720260620702,546,0,68700.0
110,4,43.297108479640826,-0.3505627583930585,168,0,233000.0
75,2,43.29475690344868,-0.355044083379114,397,0,149900.0
112,3,43.299765148942285,-0.3593080372569264,82,0,221400.0
65,1,43.313686923189984,-0.3642350854762949,228,1,145600.0
41,1,43.299433667436475,-0.3486839837756067,390,0,81400.0
100,3,43.303932184300095,-0.3632266467773209,227,1,228600.0
70,2,43.30816943605459,-0.3505020168158527,93,0,136500.0
56,2,43.30036348085472,-0.3618259527428934,642,0,98200.0
103,4,43.31435098790258,-0.36369166711725276,618,0,179400.0
104,5,43.31413628778367,-0.3611196064299118,395,0,189500.0
78,2,43.29779099280398,-0.36595866377507574,72,0,150600.0
110,3,43.30343671563553,-0.3525717185947124,40,1,280200.0
116,4,43.29892020112579,-0.3599183882972256,461,0,249700.0
44,1,43.29855133137068,-0.36803361914559546,80,0,92600.0
57,1,43.29284839978916,-0.3480127628017629,268,1,136800.0
98,4,43.30601997968154,-0.36348326335880365,58,1,250000.0
64,1,43.303561617534264,-0.35869341416658035,111,1,160000.0
56,3,43.293184011278754,-0.3478058366710636,568,0,97400.0
121,5,43.29840886867744,-0.3562728601225802,241,1,319100.0
26,1,43.31289011537723,-0.37149305877874905,450,0,47100.0
121,5,43.29750992348534,-0.3468050362915957,615,0,234700.0
57,1,43.2953325820581,-0.35616875840785744,393,0,115900.0
129,4,43.303257413486385,-0.3649528315602874,192,0,227100.0
101,4,43.31466996044454,-0.37082183782009837,441,0,189400.0
54,3,43.297567271244766,-0.35117924432189107,321,0,107900.0
57,1,43.307459117590334,-0.3563978173221446,518,0,108900.0
101,3,43.309517251152556,-0.3589961672407103,282,1,242800.0
50,1,43.29746566351183,-0.3481832225084712,600,0,98200.0
46,2,43.30874897601807,-0.3513420836632641,22,1,114400.0
127,6,43.30045901205254,-0.37044975360801746,522,0,246700.0
90,3,43.306543034103655,-0.36564833796613355,490,0,170800.0
62,3,43.3065711833475,-0.36754532580556604,311,0,114200.0
127,5,43.30432281773372,-0.35268161122281966,178,1,306800.0
114,4,43.294076664711255,-0.3739940269579266,499,0,229500.0
70,3,43.31121195739855,-0.3579033094538605,611,0,140800.0
39,1,43.29937794149435,-0.35212623942777926,86,0,85300.0
122,6,43.296289925739195,-0.3486970308971475,581,0,251300.0
130,5,43.29293782825576,-0.3647375475385228,573,0,250400.0
68,3,43.30559053769333,-0.3503622808598396,252,1,170200.0
73,4,43.30758398032237,-0.37168104789134376,118,1,188500.0
128,5,43.29238152006534,-0.3496064312479644,224,1,301400.0
99,3,43.30377814034088,-0.3711753401300405,568,0,195500.0
85,3,43.29720940282955,-0.36308138128318895,482,0,150300.0
91,4,43.30683897417941,-0.35108113902661336,468,0,179100.0
30,1,43.29601042786712,-0.37050247717953677,282,0,62900.0
33,1,43.307891567976355,-0.36812245814302075,400,0,69600.0
30,1,43.300894912964914,-0.353332422948208,401,0,62200.0
97,4,43.313544789740945,-0.3533989039036177,273,1,244700.0
127,4,43.29516298171536,-0.3557655710134411,297,1,296700.0
119,5,43.29984452607415,-0.354181546665987,640,0,211600.0
56,2,43.29460989098853,-0.3587182666995721,54,1,136200.0
65,2,43.313267953220404,-0.36744602823279143,500,0,126100.0
100,4,43.31217880512776,-0.3646291201948824,234,1,211200.0
32,1,43.29793265743745,-0.36955206849595723,143,0,72900.0
96,4,43.30717963305879,-0.3477464831599911,534,0,181400.0
74,4,43.31079611060463,-0.35749824615701636,627,0,131300.0
116,5,43.30476961866679,-0.3629744574970908,633,0,168700.0
86,3,43.304181963302184,-0.361139825890676,627,0,157500.0
108,3,43.29756260269071,-0.34658149981164554,274,0,214200.0
86,4,43.294141363659534,-0.37039945790651757,380,0,157000.0
31,1,43.31263596243292,-0.3574131050394961,558,0,54900.0
99,5,43.31270961531475,-0.359823339633466,538,0,185800.0
108,4,43.30656133351729,-0.35665637293696056,30,1,258900.0
104,5,43.29979768519412,-0.3744566944853748,143,0,225100.0
28,1,43.30003182021609,-0.34883628273167544,589,0,48800.0
30,2,43.308696980614016,-0.3470364515254916,123,1,73900.0
82,3,43.312633535978904,-0.3580460044923237,547,0,168400.0
46,1,43.3124029877581,-0.3541004752836932,283,1,108200.0
50,2,43.309937137554726,-0.3473250185646811,176,1,123300.0
27,1,43.30676672786155,-0.35378284097059803,274,1,65000.0
65,1,43.293935219194886,-0.3704238287125722,116,1,158800.0
84,3,43.29571746042418,-0.3577113491949956,520,0,157900.0
130,4,43.31266674633612,-0.3567985486085143,585,0,230300.0
38,1,43.30594786837217,-0.3622760798609284,261,0,77600.0
99,4,43.29221153218718,-0.35290667293125827,551,0,181400.0
106,3,43.29433384548592,-0.3469689895569295,145,1,281900.0
36,2,43.307260540689484,-0.3472329446127967,367,0,75200.0
111,4,43.29211641642846,-0.361474818857876,210,1,241700.0
36,1,43.295698585182606,-0.3716028586247773,396,0,62700.0
37,1,43.30462087715543,-0.34545476403112996,241,0,74400.0
49,2,43.30791358954693,-0.34983305740662196,490,0,90400.0
69,2,43.30699510896856,-0.371260119563902,491,0,129500.0
43,1,43.29715819411759,-0.3473747435214788,279,1,105700.0
79,4,43.308380122090995,-0.3489031091381361,386,0,158300.0
134,6,43.297456729012424,-0.3594348582862178,500,0,260700.0
124,4,43.299484193057665,-0.3572617369276521,448,0,265700.0
69,2,43.30916930231771,-0.3630299188838961,225,1,150400.0
32,1,43.30694155667808,-0.37335715083533905,586,0,59900.0
117,3,43.311532138441365,-0.36494408275062296,391,0,218500.0
77,2,43.30712509652291,-0.35091439654205964,409,0,166400.0
79,3,43.30507109787671,-0.3748610393098619,464,0,125300.0
56,1,43.29415451966005,-0.36499502484926566,378,0,91600.0
75,3,43.300457463470366,-0.36305493919227166,471,0,147000.0
68,1,43.29809965445668,-0.3588781319118623,240,1,173300.0
106,5,43.29761176179772,-0.3474043315076172,145,1,269600.0
94,2,43.3143792427593,-0.36460962016902115,602,0,162500.0
42,1,43.301041247667335,-0.3645914039431132,490,0,89500.0
107,5,43.31251707076907,-0.3528749625567075,291,1,232200.0
46,1,43.306516188397936,-0.36143346177330576,170,1,120100.0
61,2,43.31028065998146,-0.36826185531180056,232,1,135400.0
120,4,43.30356065314142,-0.3614268145160192,204,0,239400.0
80,4,43.30526878934641,-0.370774289388606,431,0,162400.0
129,5,43.30332790695783,-0.3697083904048133,560,0,212900.0
83,2,43.29649058871936,-0.3600489668178156,55,0,194500.0
27,2,43.30861639865101,-0.36243223651486356,321,0,52300.0
52,2,43.29845776433614,-0.34755462296795697,352,0,103700.0
98,4,43.29255926722792,-0.364128183026501,328,0,211700.0
59,3,43.306845862805865,-0.3575823494916587,89,0,117200.0
85,4,43.29607354562636,-0.35603207136241405,293,0,183800.0
117,5,43.31363054744011,-0.37460716630234997,190,0,269200.0
78,4,43.31394035727106,-0.35509387883949867,287,1,176100.0
87,2,43.31304188097507,-0.36965892099390746,634,0,177300.0
103,5,43.30051365010588,-0.34616789047591634,303,0,178600.0
121,5,43.292355502180165,-0.3705401181674066,286,1,292300.0
31,1,43.31335132693952,-0.3625612762881893,80,1,70500.0
100,3,43.3018482354113,-0.3724395099576407,497,0,204300.0
73,3,43.314233060838,-0.3450937724446215,262,1,182400.0
118,4,43.31416325947305,-0.3599341496900627,170,1,321700.0
109,5,43.311619217475744,-0.3571384494803987,61,1,292400.0
55,2,43.2987723245176,-0.37298770567834716,468,0,104000.0
82,2,43.30085724775785,-0.35250118588802465,215,0,154200.0
85,4,43.31157614344489,-0.3687028322071324,138,1,213800.0
48,3,43.299289206118594,-0.3480583713167786,15,1,119200.0
44,1,43.29589833317378,-0.3688458107855398,205,1,115700.0
61,3,43.30480642903654,-0.36927936838009,593,0,93200.0
28,2,43.313531559805696,-0.3739035099645572,530,0,62000.0
116,3,43.30800868532352,-0.3608379916467,456,0,232200.0
132,6,43.305111406912054,-0.3580547660021215,157,1,303500.0
44,1,43.29423505935673,-0.37302874081714943,205,1,110300.0
84,2,43.30614516621408,-0.35173417149914965,547,0,174000.0
48,2,43.314771238552396,-0.36140133495755916,241,1,115000.0
74,3,43.295221932350444,-0.35926829192017257,327,0,127400.0
73,4,43.303921582004364,-0.36177711759185316,643,0,130300.0
75,4,43.312179580654345,-0.3629771081737402,316,0,161100.0
120,4,43.30903767820835,-0.35821079006075346,474,0,238500.0
129,6,43.30803136204289,-0.37034279262207864,415,0,247600.0
60,1,43.3081571339317,-0.36954215608514185,565,0,123800.0
122,4,43.30026829647805,-0.34914643136959445,407,0,251000.0
124,6,43.298752612418085,-0.34661653613599097,221,1,311500.0
90,2,43.310615306576004,-0.3638007205116074,224,0,177900.0
103,4,43.31063260807762,-0.36687765980569337,129,1,243000.0
58,3,43.31194266332734,-0.35568001370282953,265,1,122500.0
60,2,43.313004532708796,-0.3627379748670571,233,1,140700.0
30,2,43.3037608751738,-0.37423840933018965,421,0,62400.0
63,1,43.3035348747778,-0.3703154220790143,457,0,119100.0
66,3,43.31036078911623,-0.35352083313457805,617,0,125900.0
82,3,43.30694917040789,-0.35523228174269544,368,0,174900.0
36,1,43.30814523817693,-0.3741871202248955,572,0,69100.0
27,2,43.31030323139703,-0.3683408351420115,564,0,52300.0
133,6,43.312470122861804,-0.36806775610235787,156,0,248500.0
42,2,43.29977388860758,-0.35484321769203814,626,0,75100.0
64,2,43.30063840791072,-0.3744086838673691,515,0,137700.0
45,1,43.29416158461634,-0.37187674254046277,561,0,84800.0
39,2,43.30530044324291,-0.3510025174388043,556,0,84100.0
121,4,43.29282667229732,-0.36964366013836997,521,0,215500.0
123,4,43.30270875441705,-0.3554176167644437,610,0,231300.0
50,2,43.30448082659827,-0.3678545165685982,295,1,114800.0
32,1,43.298590448798954,-0.37201675821721963,438,0,64600.0
124,5,43.30558916499309,-0.3677048342700164,284,1,309000.0
118,5,43.2927015057486,-0.3533319920443302,168,0,254500.0
111,4,43.29285900834123,-0.3493291059568114,628,0,221100.0
66,2,43.31091981289517,-0.3500934040629902,97,1,161700.0
68,3,43.30028438475246,-0.36308449411144633,636,0,122600.0
38,1,43.294922391791,-0.3549574459028806,440,0,63300.0
102,4,43.30401159498126,-0.36885047113752534,289,1,250000.0
26,1,43.309709851721266,-0.3662055680921696,298,1,61800.0
61,3,43.29696388363243,-0.34810992544436636,187,0,124800.0
93,2,43.30632648094384,-0.3746099422946779,341,0,181400.0
62,2,43.293962991694855,-0.37243474407436594,77,1,152300.0
133,6,43.293188679586876,-0.36876341234561916,87,1,322000.0
65,2,43.30422115652607,-0.3742040338837854,389,0,122000.0
86,4,43.304434607797035,-0.36955693694730607,647,0,160200.0
84,2,43.30666088773446,-0.35750875317090924,522,0,164800.0
38,1,43.30870010067562,-0.3623572634822251,412,0,69500.0
127,4,43.31444459782764,-0.34821984866769073,134,1,301400.0
113,3,43.303874908010926,-0.35047669314784674,451,0,214000.0
108,4,43.29942799887765,-0.3647454794490637,479,0,206400.0
26,1,43.31028928247968,-0.36721729699706124,300,0,51500.0
127,4,43.298229141779025,-0.363609227754982,279,1,312400.0
94,2,43.30209634267623,-0.3572911517245558,334,0,163100.0
41,1,43.293804496770875,-0.3669580907753137,390,0,71100.0
113,4,43.292583067098555,-0.35627553276452595,103,1,280000.0
52,1,43.31414091353759,-0.3627176504342628,217,1,119700.0
90,2,43.31122754277178,-0.35843858457444056,348,0,189800.0
59,1,43.30800740674015,-0.3619162041259405,236,1,150900.0
125,6,43.30140591772153,-0.3661660272137425,55,1,313400.0
29,1,43.29598576936163,-0.3465464007911353,82,1,66600.0
89,4,43.295598051981436,-0.3520918261752072,528,0,181900.0
64,3,43.297755586657786,-0.37079660472700643,636,0,119200.0
100,3,43.304632213288244,-0.3489459607230626,612,0,162100.0
80,4,43.3084357062221,-0.3603770640525146,646,0,129400.0
60,1,43.307184539664505,-0.3481634331931772,141,1,159400.0
69,2,43.29843847962976,-0.3510043423215805,269,1,177200.0
47,1,43.31396190145525,-0.362243594865923,30,1,99000.0
71,2,43.308971629084,-0.3743259207503965,491,0,120800.0
55,2,43.30475014320776,-0.3669396792184516,76,0,125600.0
35,2,43.30606957716339,-0.358750973560174,446,0,67300.0
34,1,43.30165080143584,-0.35599565340521555,282,1,83800.0
91,2,43.29769781275853,-0.36726336943700394,49,1,224400.0
38,1,43.30018737160898,-0.3708193177778153,590,0,74200.0
104,4,43.30943046054068,-0.349952092896021,508,0,197300.0
98,4,43.29233105023849,-0.3454679345788934,576,0,176000.0
117,3,43.29466967073166,-0.3592292945309194,483,0,241900.0
34,1,43.293058060766505,-0.3698496214245509,339,0,68400.0
100,3,43.29293676245334,-0.36683078020441895,318,0,208900.0
118,3,43.31167559343225,-0.37444827970357597,290,0,239400.0
129,4,43.30818413076574,-0.347571035803185,215,0,254100.0
25,1,43.30290599806901,-0.37146746751329573,459,0,54000.0
29,1,43.29425018569498,-0.35770450573457235,338,0,59000.0
44,1,43.303307165127684,-0.3667783433793838,49,1,106600.0
32,1,43.30288985072795,-0.35837465992452616,496,0,67000.0
67,2,43.29598364300793,-0.35545738834944407,494,0,114200.0
100,3,43.301978587932474,-0.3501077458887839,79,1,279600.0
25,1,43.30116560889114,-0.3688073618471819,22,1,61600.0
81,3,43.3061645522552,-0.37467012514024556,315,0,146000.0
88,3,43.306607153969956,-0.37089343109793577,357,0,198700.0
108,4,43.29304199222476,-0.3479994407445568,445,0,200700.0
52,1,43.30061609013641,-0.34878329767312455,438,0,102300.0
131,6,43.306394778061424,-0.3570776069348907,346,0,273100.0
61,3,43.30357213394734,-0.3569844941869904,452,0,128200.0
71,2,43.31169926634733,-0.3550488997636123,602,0,134500.0
125,6,43.30714995352724,-0.3697388616412965,188,1,288600.0
100,4,43.29574749182287,-0.3475676416222512,573,0,189600.0
61,1,43.29362308119021,-0.3624368842532378,541,0,110800.0
73,4,43.306775643398744,-0.3635058441525151,40,1,183800.0
68,1,43.29260976014246,-0.35943246884151486,619,0,141800.0
80,4,43.30547283836929,-0.37359102099674835,420,0,164300.0
52,1,43.313625295552775,-0.3700114989373176,246,1,125200.0
103,5,43.30523590609114,-0.35285899150720884,547,0,204700.0
30,1,43.300927908302754,-0.3725160399622462,564,0,59700.0
132,4,43.30679562902417,-0.35690543671600833,519,0,228200.0
85,4,43.30253981648131,-0.36763952670956035,193,0,175100.0
44,1,43.30454918615427,-0.3633211315787407,146,1,123700.0
102,3,43.31365369060186,-0.36633918789687897,469,0,213900.0
26,1,43.30088036066942,-0.3643298185060515,362,0,49200.0
97,5,43.31410738296795,-0.35342862284447263,554,0,172900.0
61,3,43.312823064764984,-0.36608634853130473,420,0,112500.0
44,1,43.296503196100154,-0.3580078607910931,90,0,98300.0
50,1,43.29359530992013,-0.360718487934027,593,0,104700.0
53,3,43.294317894031686,-0.35508986503912054,506,0,105200.0
25,2,43.292419101989985,-0.34689510782025723,208,0,51700.0
59,1,43.294172188097384,-0.3530228370836925,176,1,138400.0
94,2,43.30770915578857,-0.3685517886422773,361,0,189800.0
125,4,43.293637338914586,-0.3740645059481615,375,0,229900.0
83,3,43.299336439496756,-0.3671320786710052,598,0,129500.0
93,4,43.3114321321523,-0.35714766207899235,101,1,250600.0
57,2,43.29253525452192,-0.3734572255954725,276,1,126000.0
75,4,43.310732775099545,-0.3601090125839629,228,1,175300.0
102,5,43.29848265981979,-0.3570947145324933,587,0,199400.0
36,2,43.294717791035296,-0.36497268327549115,276,0,80200.0
130,6,43.30802495480337,-0.3518726338876253,297,0,265200.0
44,2,43.306465685475935,-0.37180205240598685,481,0,76100.0
77,4,43.31218185631112,-0.37274586654792574,394,0,146900.0
112,5,43.308906634007485,-0.3531543373138919,376,0,208300.0
67,2,43.31048006139885,-0.36013526051381406,463,0,128200.0
122,4,43.29848679516914,-0.3543479281071679,455,0,257100.0
113,3,43.296081109506936,-0.3619551798418876,107,1,233400.0
74,3,43.30926413928774,-0.3676079390028268,635,0,131000.0
53,2,43.31055719900314,-0.35042693046977397,438,0,98500.0
81,3,43.31478161826601,-0.3510175236309306,156,1,180900.0
63,2,43.301490206568964,-0.35415910587436716,305,0,131400.0
119,5,43.30055641597323,-0.36683564588310114,446,0,204100.0
80,2,43.30985749809707,-0.35729307999392734,63,1,181900.0
67,3,43.29983848142582,-0.3641707830917992,316,0,142000.0
74,2,43.31340741848888,-0.37225253780020096,204,1,194100.0
47,1,43.31174349329239,-0.3474805927361327,150,1,113400.0
68,2,43.30186686262962,-0.37089544107243116,569,0,114400.0
62,3,43.309270034559205,-0.3464928793853759,418,0,113800.0
108,4,43.30935448610395,-0.3616198268112613,616,0,215300.0
47,2,43.294371848983225,-0.3694460121348414,355,0,93500.0
69,1,43.31275871685363,-0.35874297157864926,332,0,135900.0
76,3,43.3036208045663,-0.3488116249237077,632,0,143000.0
104,4,43.311008521720474,-0.35303325340771313,377,0,203400.0
74,2,43.299361140823706,-0.35080316556415647,396,0,161600.0
130,4,43.31259703425541,-0.3552364989986785,247,1,294300.0
32,1,43.30095163861088,-0.3542317030644644,358,0,58900.0
109,4,43.29224926598405,-0.3495241304530404,563,0,181000.0
25,2,43.31282378545764,-0.3675099597342244,567,0,44600.0
32,1,43.29409959356608,-0.3603172510907058,543,0,54900.0
53,3,43.29934421366458,-0.3683637167454119,585,0,100200.0
120,5,43.31385142524216,-0.34536995976010054,197,1,288600.0
126,5,43.313863964379564,-0.34667821980940156,55,1,291100.0
29,1,43.30518907142684,-0.37381719565894483,565,0,56700.0
110,5,43.3065322558799,-0.3538327448245293,411,0,238900.0
71,2,43.3023142470055,-0.34724255047753,508,0,138400.0
58,2,43.29874384774906,-0.36958273964618,347,0,92500.0
89,2,43.299559284543506,-0.3579616430834211,141,0,211600.0
79,2,43.30746792448977,-0.3475353510723587,572,0,156100.0
114,5,43.309304614177066,-0.373981620642426,571,0,246000.0
67,2,43.31020631800569,-0.3540773919825948,15,1,178000.0
98,5,43.310161217284275,-0.36607952977882346,182,0,220800.0
54,2,43.29409774037012,-0.34726811413870406,634,0,100600.0
106,5,43.30337166700816,-0.34586825264503895,33,1,259100.0
41,1,43.29332385148039,-0.346672005326597,346,0,83400.0
50,2,43.30463916429345,-0.36077357350027606,598,0,87200.0
32,2,43.30215520153159,-0.3491387204703206,470,0,63400.0
71,1,43.31241719620344,-0.34966351804394785,123,0,120300.0
128,4,43.300071045288696,-0.36542698580270233,282,1,302800.0
100,5,43.294692541377835,-0.35013253577547965,459,0,212200.0
115,4,43.29528880868722,-0.3738897709585352,254,1,274500.0
96,4,43.3095147445295,-0.3571119036455384,315,0,216200.0
113,3,43.30621901545627,-0.3680997348813689,616,0,203700.0
70,2,43.29432582155083,-0.37138299342668163,117,1,181400.0
92,3,43.29393445654065,-0.3726914039511237,264,1,205700.0
57,2,43.30812229002356,-0.3541113367236558,467,0,117500.0
25,1,43.293673549146376,-0.364803751086958,534,0,47900.0
43,2,43.31090278136368,-0.35325699685413714,167,0,87400.0
55,2,43.3082435712246,-0.3730393097760317,188,1,111100.0
104,3,43.293871021954764,-0.36554128986508166,357,0,201100.0
38,1,43.293951267423964,-0.35881526122873986,445,0,74500.0
77,4,43.31469271030552,-0.3512783050548311,338,0,162100.0
72,3,43.300608228302394,-0.3654374249120379,434,0,156000.0
93,3,43.30052476938254,-0.3562232587068897,608,0,200100.0
129,6,43.31069439004692,-0.34842066755291434,499,0,269300.0
114,5,43.313786717279825,-0.35652410435453086,426,0,211200.0
86,2,43.31467802446792,-0.368011215757391,98,0,176800.0
116,3,43.30932769826095,-0.37426797655330385,127,0,254900.0
90,4,43.30065397046721,-0.3488970337829721,346,0,184900.0
